487,0,0,0,1,3,0
482,0,0,0,1,3,0
487,0,0,0,1,3,0
486,0,0,0,1,3,0
488,0,0,0,1,3,0
483,0,0,0,1,3,0
485,0,0,0,1,3,0
481,0,0,0,1,3,0
490,0,0,0,1,3,0
485,0,0,0,1,3,0
485,0,0,0,1,3,0
483,0,0,0,1,3,0
480,0,0,0,1,3,0
490,0,0,0,1,3,0
488,0,0,0,1,3,0
484,0,0,0,1,3,0
485,0,0,0,1,3,0
484,0,0,0,1,3,0
485,0,0,0,1,3,0
486,0,0,0,1,3,0
483,0,0,0,1,3,0
482,0,0,0,1,3,0
486,0,0,0,1,3,0
491,0,0,0,1,3,0
489,0,0,0,1,3,0
484,0,0,0,1,3,0
484,0,0,0,1,3,0
485,0,0,0,1,3,0
484,0,0,0,1,3,0
484,0,0,0,1,3,0
479,0,0,0,1,3,0
483,0,0,0,1,3,0
486,0,0,0,1,3,0
483,0,0,0,1,3,0
488,0,0,0,1,3,0
480,0,0,0,1,3,0
484,0,0,0,1,3,0
483,0,0,0,1,3,0
488,0,0,0,1,3,0
484,0,0,0,1,3,0
480,0,0,0,1,3,0
482,0,0,0,1,3,0
485,0,0,0,1,3,0
484,0,0,0,1,3,0
487,0,0,0,1,3,0
487,0,0,0,1,3,0
486,0,0,0,1,3,0
488,0,0,0,1,3,0
489,0,0,0,1,3,0
481,0,0,0,1,3,0
487,0,0,0,1,3,0
484,0,0,0,1,3,0
485,0,0,0,1,3,0
483,0,0,0,1,3,0
483,0,0,0,1,3,0
482,0,0,0,1,3,0
483,0,0,0,1,3,0
484,0,0,0,1,3,0
481,0,0,0,1,3,0
486,0,0,0,1,3,0
481,0,0,0,1,3,0
485,0,0,0,1,3,0
489,0,0,0,1,3,0
482,0,0,0,1,3,0
479,0,0,0,1,3,0
486,0,0,0,1,3,0
481,0,0,0,1,3,0
488,0,0,0,1,3,0
488,0,0,0,1,3,0
486,0,0,0,1,3,0
486,0,0,0,1,3,0
490,0,0,0,1,3,0
484,0,0,0,1,3,0
483,0,0,0,1,3,0
482,0,0,0,1,3,0
480,0,0,0,1,3,0
489,0,0,0,1,3,0
488,0,0,0,1,3,0
480,0,0,0,1,3,0
484,0,0,0,1,3,0
480,0,0,0,1,3,0
485,0,0,0,1,3,0
482,0,0,0,1,3,0
482,0,0,0,1,3,0
482,0,0,0,1,3,0
486,0,0,0,1,3,0
482,0,0,0,1,3,0
480,0,0,0,1,3,0
482,0,0,0,1,3,0
479,0,0,0,1,3,0
482,0,0,0,1,3,0
484,0,0,0,1,3,0
485,0,0,0,1,3,0
481,0,0,0,1,3,0
481,0,0,0,1,3,0
484,0,0,0,1,3,0
485,0,0,0,1,3,0
482,0,0,0,1,3,0
485,0,0,0,1,3,0
488,0,0,0,1,3,0
637,0,0,0,1,3,0
782,0,0,0,1,3,0
738,0,0,0,1,3,0
722,0,0,0,1,3,0
741,0,0,0,1,3,0
745,0,0,0,1,3,0
722,0,0,0,1,3,0
649,0,0,0,1,3,0
638,0,0,0,1,3,0
649,0,0,0,1,3,0
643,0,0,0,1,3,0
669,0,0,0,1,3,0
664,0,0,0,1,3,0
641,0,0,0,1,3,0
662,0,0,0,1,3,0
661,0,0,0,1,3,0
637,0,0,0,1,3,0
639,0,0,0,1,3,0
654,0,0,0,1,3,0
624,0,0,0,1,3,0
652,0,0,0,1,3,0
634,0,0,0,1,3,0
636,0,0,0,1,3,0
650,0,0,0,1,3,0
666,0,0,0,1,3,0
624,0,0,0,1,3,0
636,0,0,0,1,3,0
658,0,0,0,1,3,0
680,0,0,0,1,3,0
646,0,0,0,1,3,0
641,0,0,0,1,3,0
678,0,0,0,1,3,0
669,0,0,0,1,3,0
653,0,0,0,1,3,0
639,0,0,0,1,3,0
623,0,0,0,1,3,0
642,0,0,0,1,3,0
638,0,0,0,1,3,0
657,0,0,0,1,3,0
631,0,0,0,1,3,0
619,0,0,0,1,3,0
644,0,0,0,1,3,0
620,0,0,0,1,3,0
641,0,0,0,1,3,0
580,0,0,0,1,3,0
581,0,0,0,1,3,0
580,0,0,0,1,3,0
578,0,0,0,1,3,0
595,0,0,0,1,3,0
599,0,0,0,1,3,0
576,0,0,0,1,3,0
577,0,0,0,1,3,0
580,0,0,0,1,3,0
592,0,0,0,1,3,0
594,0,0,0,1,3,0
594,0,0,0,1,3,0
581,0,0,0,1,3,0
597,0,0,0,1,3,0
583,0,0,0,1,3,0
583,0,0,0,1,3,0
597,0,0,0,1,3,0
598,0,0,0,1,3,0
588,0,0,0,1,3,0
587,0,0,0,1,3,0
580,0,0,0,1,3,0
586,0,0,0,1,3,0
603,0,0,0,1,3,0
588,0,0,0,1,3,0
607,0,0,0,1,3,0
606,0,0,0,1,3,0
591,0,0,0,1,3,0
585,0,0,0,1,3,0
592,0,0,0,1,3,0
582,0,0,0,1,3,0
587,0,0,0,1,3,0
591,0,0,0,1,3,0
575,0,0,0,1,3,0
582,0,0,0,1,3,0
586,0,0,0,1,3,0
578,0,0,0,1,3,0
578,0,0,0,1,3,0
585,0,0,0,1,3,0
575,0,0,0,1,3,0
578,0,0,0,1,3,0
569,0,0,0,1,3,0
597,0,0,0,1,3,0
578,0,0,0,1,3,0
588,0,0,0,1,3,0
596,0,0,0,1,3,0
591,0,0,0,1,3,0
596,0,0,0,1,3,0
598,0,0,0,1,3,0
596,0,0,0,1,3,0
572,0,0,0,1,3,0
594,0,0,0,1,3,0
606,0,0,0,1,3,0
595,0,0,0,1,3,0
579,0,0,0,1,3,0
570,0,0,0,1,3,0
575,0,0,0,1,3,0
593,0,0,0,1,3,0
583,0,0,0,1,3,0
592,0,0,0,1,3,0
589,0,0,0,1,3,0
591,0,0,0,1,3,0
582,0,0,0,1,3,0
583,0,0,0,1,3,0
593,0,0,0,1,3,0
576,0,0,0,1,3,0
585,0,0,0,1,3,0
592,0,0,0,1,3,0
599,0,0,0,1,3,0
589,0,0,0,1,3,0
588,0,0,0,1,3,0
608,0,0,0,1,3,0
604,0,0,0,1,3,0
592,0,0,0,1,3,0
593,0,0,0,1,3,0
590,0,0,0,1,3,0
571,0,0,0,1,3,0
578,0,0,0,1,3,0
586,0,0,0,1,3,0
584,0,0,0,1,3,0
591,0,0,0,1,3,0
586,0,0,0,1,3,0
595,0,0,0,1,3,0
573,0,0,0,1,3,0
565,0,0,0,1,3,0
561,0,0,0,1,3,0
557,0,0,0,1,3,0
557,0,0,0,1,3,0
553,0,0,0,1,3,0
550,0,0,0,1,3,0
545,0,0,0,1,3,0
545,0,0,0,1,3,0
558,0,0,0,1,3,0
560,0,0,0,1,3,0
559,0,0,0,1,3,0
551,0,0,0,1,3,0
564,0,0,0,1,3,0
558,0,0,0,1,3,0
558,0,0,0,1,3,0
556,0,0,0,1,3,0
558,0,0,0,1,3,0
549,0,0,0,1,3,0
562,0,0,0,1,3,0
548,0,0,0,1,3,0
553,0,0,0,1,3,0
553,0,0,0,1,3,0
556,0,0,0,1,3,0
552,0,0,0,1,3,0
555,0,0,0,1,3,0
551,0,0,0,1,3,0
548,0,0,0,1,3,0
552,0,0,0,1,3,0
547,0,0,0,1,3,0
548,0,0,0,1,3,0
547,0,0,0,1,3,0
548,0,0,0,1,3,0
546,0,0,0,1,3,0
548,0,0,0,1,3,0
554,0,0,0,1,3,0
550,0,0,0,1,3,0
549,0,0,0,1,3,0
550,0,0,0,1,3,0
547,0,0,0,1,3,0
543,0,0,0,1,3,0
546,0,0,0,1,3,0
542,0,0,0,1,3,0
544,0,0,0,1,3,0
544,0,0,0,1,3,0
543,0,0,0,1,3,0
546,0,0,0,1,3,0
546,0,0,0,1,3,0
552,0,0,0,1,3,0
548,0,0,0,1,3,0
558,0,0,0,1,3,0
550,0,0,0,1,3,0
548,0,0,0,1,3,0
554,0,0,0,1,3,0
561,0,0,0,1,3,0
547,0,0,0,1,3,0
551,0,0,0,1,3,0
556,0,0,0,1,3,0
552,0,0,0,1,3,0
551,0,0,0,1,3,0
550,0,0,0,1,3,0
552,0,0,0,1,3,0
547,0,0,0,1,3,0
548,0,0,0,1,3,0
550,0,0,0,1,3,0
548,0,0,0,1,3,0
543,0,0,0,1,3,0
546,0,0,0,1,3,0
555,0,0,0,1,3,0
550,0,0,0,1,3,0
548,0,0,0,1,3,0
541,0,0,0,1,3,0
543,0,0,0,1,3,0
555,0,0,0,1,3,0
551,0,0,0,1,3,0
567,0,0,0,1,3,0
546,0,0,0,1,3,0
547,0,0,0,1,3,0
549,0,0,0,1,3,0
550,0,0,0,1,3,0
550,0,0,0,1,3,0
554,0,0,0,1,3,0
554,0,0,0,1,3,0
553,0,0,0,1,3,0
552,0,0,0,1,3,0
554,0,0,0,1,3,0
553,0,0,0,1,3,0
554,0,0,0,1,3,0
556,0,0,0,1,3,0
555,0,0,0,1,3,0
548,0,0,0,1,3,0
550,0,0,0,1,3,0
563,0,0,0,1,3,0
562,0,0,0,1,3,0
565,0,0,0,1,3,0
557,0,0,0,1,3,0
551,0,0,0,1,3,0
546,0,0,0,1,3,0
551,0,0,0,1,3,0
552,0,0,0,1,3,0
564,0,0,0,1,3,0
563,0,0,0,1,3,0
551,0,0,0,1,3,0
556,0,0,0,1,3,0
563,0,0,0,1,3,0
556,0,0,0,1,3,0
544,0,0,0,1,3,0
555,0,0,0,1,3,0
548,0,0,0,1,3,0
553,0,0,0,1,3,0
559,0,0,0,1,3,0
550,0,0,0,1,3,0
564,0,0,0,1,3,0
546,0,0,0,1,3,0
560,0,0,0,1,3,0
560,0,0,0,1,3,0
554,0,0,0,1,3,0
564,0,0,0,1,3,0
563,0,0,0,1,3,0
558,0,0,0,1,3,0
551,0,0,0,1,3,0
554,0,0,0,1,3,0
556,0,0,0,1,3,0
550,0,0,0,1,3,0
553,0,0,0,1,3,0
550,0,0,0,1,3,0
556,0,0,0,1,3,0
544,0,0,0,1,3,0
542,0,0,0,1,3,0
547,0,0,0,1,3,0
548,0,0,0,1,3,0
542,0,0,0,1,3,0
543,0,0,0,1,3,0
541,0,0,0,1,3,0
550,0,0,0,1,3,0
549,0,0,0,1,3,0
553,0,0,0,1,3,0
549,0,0,0,1,3,0
545,0,0,0,1,3,0
544,0,0,0,1,3,0
551,0,0,0,1,3,0
550,0,0,0,1,3,0
546,0,0,0,1,3,0
547,0,0,0,1,3,0
561,0,0,0,1,3,0
555,0,0,0,1,3,0
551,0,0,0,1,3,0
550,0,0,0,1,3,0
553,0,0,0,1,3,0
546,0,0,0,1,3,0
557,0,0,0,1,3,0
545,0,0,0,1,3,0
554,0,0,0,1,3,0
548,0,0,0,1,3,0
545,0,0,0,1,3,0
549,0,0,0,1,3,0
551,0,0,0,1,3,0
548,0,0,0,1,3,0
551,0,0,0,1,3,0
549,0,0,0,1,3,0
559,0,0,0,1,3,0
552,0,0,0,1,3,0
546,0,0,0,1,3,0
544,0,0,0,1,3,0
546,0,0,0,1,3,0
554,0,0,0,1,3,0
558,0,0,0,1,3,0
547,0,0,0,1,3,0
561,0,0,0,1,3,0
556,0,0,0,1,3,0
554,0,0,0,1,3,0
564,0,0,0,1,3,0
556,0,0,0,1,3,0
554,0,0,0,1,3,0
649,0,0,0,1,3,0
747,0,0,0,1,3,0
731,0,0,0,1,3,0
718,0,0,0,1,3,0
720,0,0,0,1,3,0
712,0,0,0,1,3,0
707,0,0,0,1,3,0
729,0,0,0,1,3,0
679,0,0,0,1,3,0
730,0,0,0,1,3,0
663,0,0,0,1,3,0
705,0,0,0,1,3,0
697,0,0,0,1,3,0
698,0,0,0,1,3,0
715,0,0,0,1,3,0
693,0,0,0,1,3,0
690,0,0,0,1,3,0
657,0,0,0,1,3,0
623,0,0,0,1,3,0
642,0,0,0,1,3,0
656,0,0,0,1,3,0
643,0,0,0,1,3,0
643,0,0,0,1,3,0
624,0,0,0,1,3,0
627,0,0,0,1,3,0
666,0,0,0,1,3,0
638,0,0,0,1,3,0
654,0,0,0,1,3,0
627,0,0,0,1,3,0
630,0,0,0,1,3,0
620,0,0,0,1,3,0
624,0,0,0,1,3,0
643,0,0,0,1,3,0
613,0,0,0,1,3,0
615,0,0,0,1,3,0
680,0,0,0,1,3,0
666,0,0,0,1,3,0
647,0,0,0,1,3,0
653,0,0,0,1,3,0
674,0,0,0,1,3,0
667,0,0,0,1,3,0
669,0,0,0,1,3,0
680,0,0,0,1,3,0
658,0,0,0,1,3,0
633,0,0,0,1,3,0
658,0,0,0,1,3,0
658,0,0,0,1,3,0
664,0,0,0,1,3,0
643,0,0,0,1,3,0
646,0,0,0,1,3,0
624,0,0,0,1,3,0
635,0,0,0,1,3,0
641,0,0,0,1,3,0
624,0,0,0,1,3,0
653,0,0,0,1,3,0
633,0,0,0,1,3,0
643,0,0,0,1,3,0
639,0,0,0,1,3,0
624,0,0,0,1,3,0
616,0,0,0,1,3,0
617,0,0,0,1,3,0
649,0,0,0,1,3,0
619,0,0,0,1,3,0
621,0,0,0,1,3,0
596,0,0,0,1,3,0
610,0,0,0,1,3,0
618,0,0,0,1,3,0
658,0,0,0,1,3,0
627,0,0,0,1,3,0
658,0,0,0,1,3,0
637,0,0,0,1,3,0
657,0,0,0,1,3,0
653,0,0,0,1,3,0
631,0,0,0,1,3,0
646,0,0,0,1,3,0
647,0,0,0,1,3,0
637,0,0,0,1,3,0
645,0,0,0,1,3,0
639,0,0,0,1,3,0
636,0,0,0,1,3,0
648,0,0,0,1,3,0
643,0,0,0,1,3,0
648,0,0,0,1,3,0
638,0,0,0,1,3,0
650,0,0,0,1,3,0
648,0,0,0,1,3,0
649,0,0,0,1,3,0
655,0,0,0,1,3,0
642,0,0,0,1,3,0
665,0,0,0,1,3,0
636,0,0,0,1,3,0
640,0,0,0,1,3,0
634,0,0,0,1,3,0
627,0,0,0,1,3,0
655,0,0,0,1,3,0
656,0,0,0,1,3,0
655,0,0,0,1,3,0
619,0,0,0,1,3,0
636,0,0,0,1,3,0
627,0,0,0,1,3,0
653,0,0,0,1,3,0
627,0,0,0,1,3,0
630,0,0,0,1,3,0
644,0,0,0,1,3,0
637,0,0,0,1,3,0
630,0,0,0,1,3,0
636,0,0,0,1,3,0
636,0,0,0,1,3,0
617,0,0,0,1,3,0
616,0,0,0,1,3,0
602,0,0,0,1,3,0
654,0,0,0,1,3,0
641,0,0,0,1,3,0
656,0,0,0,1,3,0
588,0,0,0,1,3,0
618,0,0,0,1,3,0
631,0,0,0,1,3,0
639,0,0,0,1,3,0
641,0,0,0,1,3,0
604,0,0,0,1,3,0
631,0,0,0,1,3,0
645,0,0,0,1,3,0
644,0,0,0,1,3,0
631,0,0,0,1,3,0
624,0,0,0,1,3,0
618,0,0,0,1,3,0
640,0,0,0,1,3,0
615,0,0,0,1,3,0
602,0,0,0,1,3,0
616,0,0,0,1,3,0
653,0,0,0,1,3,0
618,0,0,0,1,3,0
546,0,0,0,1,3,0
542,0,0,0,1,3,0
550,0,0,0,1,3,0
547,0,0,0,1,3,0
551,0,0,0,1,3,0
556,0,0,0,1,3,0
543,0,0,0,1,3,0
534,0,0,0,1,3,0
541,0,0,0,1,3,0
533,0,0,0,1,3,0
547,0,0,0,1,3,0
541,0,0,0,1,3,0
551,0,0,0,1,3,0
550,0,0,0,1,3,0
539,0,0,0,1,3,0
540,0,0,0,1,3,0
548,0,0,0,1,3,0
549,0,0,0,1,3,0
544,0,0,0,1,3,0
543,0,0,0,1,3,0
547,0,0,0,1,3,0
542,0,0,0,1,3,0
534,0,0,0,1,3,0
546,0,0,0,1,3,0
534,0,0,0,1,3,0
533,0,0,0,1,3,0
537,0,0,0,1,3,0
538,0,0,0,1,3,0
539,0,0,0,1,3,0
530,0,0,0,1,3,0
535,0,0,0,1,3,0
533,0,0,0,1,3,0
537,0,0,0,1,3,0
537,0,0,0,1,3,0
550,0,0,0,1,3,0
526,0,0,0,1,3,0
534,0,0,0,1,3,0
534,0,0,0,1,3,0
554,0,0,0,1,3,0
542,0,0,0,1,3,0
539,0,0,0,1,3,0
536,0,0,0,1,3,0
541,0,0,0,1,3,0
543,0,0,0,1,3,0
534,0,0,0,1,3,0
538,0,0,0,1,3,0
539,0,0,0,1,3,0
529,0,0,0,1,3,0
531,0,0,0,1,3,0
531,0,0,0,1,3,0
544,0,0,0,1,3,0
527,0,0,0,1,3,0
530,0,0,0,1,3,0
529,0,0,0,1,3,0
537,0,0,0,1,3,0
533,0,0,0,1,3,0
536,0,0,0,1,3,0
539,0,0,0,1,3,0
536,0,0,0,1,3,0
526,0,0,0,1,3,0
531,0,0,0,1,3,0
537,0,0,0,1,3,0
534,0,0,0,1,3,0
524,0,0,0,1,3,0
540,0,0,0,1,3,0
536,0,0,0,1,3,0
532,0,0,0,1,3,0
525,0,0,0,1,3,0
532,0,0,0,1,3,0
540,0,0,0,1,3,0
538,0,0,0,1,3,0
533,0,0,0,1,3,0
528,0,0,0,1,3,0
527,0,0,0,1,3,0
527,0,0,0,1,3,0
550,0,0,0,1,3,0
548,0,0,0,1,3,0
538,0,0,0,1,3,0
542,0,0,0,1,3,0
541,0,0,0,1,3,0
545,0,0,0,1,3,0
542,0,0,0,1,3,0
553,0,0,0,1,3,0
548,0,0,0,1,3,0
541,0,0,0,1,3,0
557,0,0,0,1,3,0
535,0,0,0,1,3,0
528,0,0,0,1,3,0
535,0,0,0,1,3,0
526,0,0,0,1,3,0
525,0,0,0,1,3,0
529,0,0,0,1,3,0
531,0,0,0,1,3,0
528,0,0,0,1,3,0
522,0,0,0,1,3,0
519,0,0,0,1,3,0
524,0,0,0,1,3,0
513,0,0,0,1,3,0
528,0,0,0,1,3,0
524,0,0,0,1,3,0
526,0,0,0,1,3,0
536,0,0,0,1,3,0
529,0,0,0,1,3,0
521,0,0,0,1,3,0
526,0,0,0,1,3,0
516,0,0,0,1,3,0
524,0,0,0,1,3,0
528,0,0,0,1,3,0
518,0,0,0,1,3,0
519,0,0,0,1,3,0
518,0,0,0,1,3,0
521,0,0,0,1,3,0
531,0,0,0,1,3,0
535,0,0,0,1,3,0
539,0,0,0,1,3,0
523,0,0,0,1,3,0
535,0,0,0,1,3,0
534,0,0,0,1,3,0
524,0,0,0,1,3,0
524,0,0,0,1,3,0
539,0,0,0,1,3,0
538,0,0,0,1,3,0
531,0,0,0,1,3,0
530,0,0,0,1,3,0
516,0,0,0,1,3,0
528,0,0,0,1,3,0
525,0,0,0,1,3,0
513,0,0,0,1,3,0
531,0,0,0,1,3,0
526,0,0,0,1,3,0
518,0,0,0,1,3,0
523,0,0,0,1,3,0
531,0,0,0,1,3,0
531,0,0,0,1,3,0
523,0,0,0,1,3,0
522,0,0,0,1,3,0
526,0,0,0,1,3,0
528,0,0,0,1,3,0
518,0,0,0,1,3,0
520,0,0,0,1,3,0
535,0,0,0,1,3,0
528,0,0,0,1,3,0
521,0,0,0,1,3,0
519,0,0,0,1,3,0
523,0,0,0,1,3,0
536,0,0,0,1,3,0
527,0,0,0,1,3,0
516,0,0,0,1,3,0
519,0,0,0,1,3,0
519,0,0,0,1,3,0
529,0,0,0,1,3,0
529,0,0,0,1,3,0
524,0,0,0,1,3,0
523,0,0,0,1,3,0
526,0,0,0,1,3,0
521,0,0,0,1,3,0
526,0,0,0,1,3,0
529,0,0,0,1,3,0
534,0,0,0,1,3,0
526,0,0,0,1,3,0
531,0,0,0,1,3,0
529,0,0,0,1,3,0
538,0,0,0,1,3,0
542,0,0,0,1,3,0
532,0,0,0,1,3,0
532,0,0,0,1,3,0
540,0,0,0,1,3,0
536,0,0,0,1,3,0
663,0,0,0,1,3,0
668,0,0,0,1,3,0
705,0,0,0,1,3,0
642,0,0,0,1,3,0
611,0,0,0,1,3,0
602,0,0,0,1,3,0
609,0,0,0,1,3,0
608,0,0,0,1,3,0
599,0,0,0,1,3,0
575,0,0,0,1,3,0
601,0,0,0,1,3,0
603,0,0,0,1,3,0
620,0,0,0,1,3,0
628,0,0,0,1,3,0
627,0,0,0,1,3,0
579,0,0,0,1,3,0
616,0,0,0,1,3,0
538,0,0,0,1,3,0
531,0,0,0,1,3,0
541,0,0,0,1,3,0
533,0,0,0,1,3,0
537,0,0,0,1,3,0
534,0,0,0,1,3,0
543,0,0,0,1,3,0
547,0,0,0,1,3,0
544,0,0,0,1,3,0
552,0,0,0,1,3,0
552,0,0,0,1,3,0
566,0,0,0,1,3,0
539,0,0,0,1,3,0
531,0,0,0,1,3,0
542,0,0,0,1,3,0
534,0,0,0,1,3,0
536,0,0,0,1,3,0
531,0,0,0,1,3,0
536,0,0,0,1,3,0
522,0,0,0,1,3,0
531,0,0,0,1,3,0
538,0,0,0,1,3,0
537,0,0,0,1,3,0
546,0,0,0,1,3,0
523,0,0,0,1,3,0
542,0,0,0,1,3,0
539,0,0,0,1,3,0
529,0,0,0,1,3,0
528,0,0,0,1,3,0
545,0,0,0,1,3,0
530,0,0,0,1,3,0
519,0,0,0,1,3,0
534,0,0,0,1,3,0
532,0,0,0,1,3,0
531,0,0,0,1,3,0
549,0,0,0,1,3,0
534,0,0,0,1,3,0
539,0,0,0,1,3,0
538,0,0,0,1,3,0
528,0,0,0,1,3,0
532,0,0,0,1,3,0
537,0,0,0,1,3,0
524,0,0,0,1,3,0
559,0,0,0,1,3,0
538,0,0,0,1,3,0
543,0,0,0,1,3,0
528,0,0,0,1,3,0
542,0,0,0,1,3,0
535,0,0,0,1,3,0
521,0,0,0,1,3,0
523,0,0,0,1,3,0
531,0,0,0,1,3,0
546,0,0,0,1,3,0
535,0,0,0,1,3,0
544,0,0,0,1,3,0
530,0,0,0,1,3,0
528,0,0,0,1,3,0
543,0,0,0,1,3,0
558,0,0,0,1,3,0
542,0,0,0,1,3,0
540,0,0,0,1,3,0
554,0,0,0,1,3,0
546,0,0,0,1,3,0
546,0,0,0,1,3,0
538,0,0,0,1,3,0
527,0,0,0,1,3,0
534,0,0,0,1,3,0
544,0,0,0,1,3,0
524,0,0,0,1,3,0
523,0,0,0,1,3,0
527,0,0,0,1,3,0
517,0,0,0,1,3,0
540,0,0,0,1,3,0
527,0,0,0,1,3,0
533,0,0,0,1,3,0
540,0,0,0,1,3,0
532,0,0,0,1,3,0
538,0,0,0,1,3,0
534,0,0,0,1,3,0
547,0,0,0,1,3,0
550,0,0,0,1,3,0
535,0,0,0,1,3,0
534,0,0,0,1,3,0
547,0,0,0,1,3,0
523,0,0,0,1,3,0
535,0,0,0,1,3,0
544,0,0,0,1,3,0
530,0,0,0,1,3,0
527,0,0,0,1,3,0
534,0,0,0,1,3,0
523,0,0,0,1,3,0
543,0,0,0,1,3,0
540,0,0,0,1,3,0
535,0,0,0,1,3,0
540,0,0,0,1,3,0
542,0,0,0,1,3,0
530,0,0,0,1,3,0
527,0,0,0,1,3,0
524,0,0,0,1,3,0
528,0,0,0,1,3,0
524,0,0,0,1,3,0
537,0,0,0,1,3,0
537,0,0,0,1,3,0
535,0,0,0,1,3,0
541,0,0,0,1,3,0
524,0,0,0,1,3,0
529,0,0,0,1,3,0
513,0,0,0,1,3,0
523,0,0,0,1,3,0
544,0,0,0,1,3,0
534,0,0,0,1,3,0
516,0,0,0,1,3,0
530,0,0,0,1,3,0
546,0,0,0,1,3,0
525,0,0,0,1,3,0
539,0,0,0,1,3,0
531,0,0,0,1,3,0
526,0,0,0,1,3,0
542,0,0,0,1,3,0
542,0,0,0,1,3,0
547,0,0,0,1,3,0
547,0,0,0,1,3,0
557,0,0,0,1,3,0
538,0,0,0,1,3,0
553,0,0,0,1,3,0
552,0,0,0,1,3,0
547,0,0,0,1,3,0
549,0,0,0,1,3,0
539,0,0,0,1,3,0
533,0,0,0,1,3,0
506,0,0,0,1,3,0
536,0,0,0,1,3,0
533,0,0,0,1,3,0
532,0,0,0,1,3,0
529,0,0,0,1,3,0
544,0,0,0,1,3,0
559,0,0,0,1,3,0
543,0,0,0,1,3,0
548,0,0,0,1,3,0
535,0,0,0,1,3,0
522,0,0,0,1,3,0
532,0,0,0,1,3,0
533,0,0,0,1,3,0
539,0,0,0,1,3,0
547,0,0,0,1,3,0
533,0,0,0,1,3,0
548,0,0,0,1,3,0
556,0,0,0,1,3,0
547,0,0,0,1,3,0
547,0,0,0,1,3,0
538,0,0,0,1,3,0
546,0,0,0,1,3,0
549,0,0,0,1,3,0
550,0,0,0,1,3,0
543,0,0,0,1,3,0
547,0,0,0,1,3,0
552,0,0,0,1,3,0
560,0,0,0,1,3,0
540,0,0,0,1,3,0
535,0,0,0,1,3,0
553,0,0,0,1,3,0
544,0,0,0,1,3,0
543,0,0,0,1,3,0
537,0,0,0,1,3,0
547,0,0,0,1,3,0
553,0,0,0,1,3,0
557,0,0,0,1,3,0
554,0,0,0,1,3,0
556,0,0,0,1,3,0
557,0,0,0,1,3,0
550,0,0,0,1,3,0
538,0,0,0,1,3,0
545,0,0,0,1,3,0
554,0,0,0,1,3,0
555,0,0,0,1,3,0
569,0,0,0,1,3,0
550,0,0,0,1,3,0
544,0,0,0,1,3,0
541,0,0,0,1,3,0
535,0,0,0,1,3,0
558,0,0,0,1,3,0
555,0,0,0,1,3,0
553,0,0,0,1,3,0
545,0,0,0,1,3,0
545,0,0,0,1,3,0
541,0,0,0,1,3,0
543,0,0,0,1,3,0
527,0,0,0,1,3,0
541,0,0,0,1,3,0
543,0,0,0,1,3,0
548,0,0,0,1,3,0
555,0,0,0,1,3,0
536,0,0,0,1,3,0
550,0,0,0,1,3,0
535,0,0,0,1,3,0
558,0,0,0,1,3,0
534,0,0,0,1,3,0
545,0,0,0,1,3,0
544,0,0,0,1,3,0
536,0,0,0,1,3,0
536,0,0,0,1,3,0
531,0,0,0,1,3,0
541,0,0,0,1,3,0
533,0,0,0,1,3,0
539,0,0,0,1,3,0
527,0,0,0,1,3,0
525,0,0,0,1,3,0
516,0,0,0,1,3,0
516,0,0,0,1,3,0
515,0,0,0,1,3,0
514,0,0,0,1,3,0
499,0,0,0,1,3,0
523,0,0,0,1,3,0
507,0,0,0,1,3,0
525,0,0,0,1,3,0
497,0,0,0,1,3,0
505,0,0,0,1,3,0
510,0,0,0,1,3,0
511,0,0,0,1,3,0
493,0,0,0,1,3,0
521,0,0,0,1,3,0
498,0,0,0,1,3,0
528,0,0,0,1,3,0
506,0,0,0,1,3,0
528,0,0,0,1,3,0
519,0,0,0,1,3,0
518,0,0,0,1,3,0
511,0,0,0,1,3,0
517,0,0,0,1,3,0
500,0,0,0,1,3,0
512,0,0,0,1,3,0
499,0,0,0,1,3,0
500,0,0,0,1,3,0
502,0,0,0,1,3,0
501,0,0,0,1,3,0
502,0,0,0,1,3,0
503,0,0,0,1,3,0
511,0,0,0,1,3,0
499,0,0,0,1,3,0
508,0,0,0,1,3,0
514,0,0,0,1,3,0
497,0,0,0,1,3,0
506,0,0,0,1,3,0
499,0,0,0,1,3,0
499,0,0,0,1,3,0
497,0,0,0,1,3,0
496,0,0,0,1,3,0
500,0,0,0,1,3,0
502,0,0,0,1,3,0
501,0,0,0,1,3,0
497,0,0,0,1,3,0
494,0,0,0,1,3,0
496,0,0,0,1,3,0
490,0,0,0,1,3,0
512,0,0,0,1,3,0
500,0,0,0,1,3,0
508,0,0,0,1,3,0
503,0,0,0,1,3,0
498,0,0,0,1,3,0
499,0,0,0,1,3,0
507,0,0,0,1,3,0
501,0,0,0,1,3,0
495,0,0,0,1,3,0
499,0,0,0,1,3,0
497,0,0,0,1,3,0
489,0,0,0,1,3,0
503,0,0,0,1,3,0
492,0,0,0,1,3,0
504,0,0,0,1,3,0
495,0,0,0,1,3,0
502,0,0,0,1,3,0
495,0,0,0,1,3,0
498,0,0,0,1,3,0
502,0,0,0,1,3,0
509,0,0,0,1,3,0
496,0,0,0,1,3,0
499,0,0,0,1,3,0
495,0,0,0,1,3,0
509,0,0,0,1,3,0
501,0,0,0,1,3,0
504,0,0,0,1,3,0
498,0,0,0,1,3,0
504,0,0,0,1,3,0
